,year,group,text
33,1874,34,"['schopenhauer', 'als', 'erzieher', 'und', 'zuchtmeister', 'der', 'deutschen']"
34,1874,35,"['es', 'giebt', 'eine', 'ethische', 'aristokratie', 'in', 'die', 'niemand', 'hineinkommen', 'kann', 'wer', 'nicht', 'schon', 'in', 'und', 'zu', 'ihr', 'geboren', 'ist']"
35,1874,36,"['einleitung', 'zu', 'plato', '1874']"
36,1874,37,"['abarten', 'degenerare', '(sohn', 'vom', 'vater)']"
37,1874,38,"['prometheus', 'und', 'sein', 'geier', 'sind', 'vergessen', 'worden', 'als', 'man', 'die', 'alte', 'welt', 'der', 'olympier', 'und', 'ihre', 'macht', 'vernichtete']"
38,1875,1,"['romundt', '9', 'januar:', '9—10', 'märz', 'muss', 'seine', 'schrift', 'fertig', 'sein', 'höchstens', '10', 'april']"
39,1875,2,"['notizen', 'zu', 'wir', 'philologen']"
40,1875,3,"['notizen', 'zu', 'wir', 'philologen']"
41,1875,4,['sorgen:']
42,1875,5,"['das', 'von', 'vorn', 'anfangen', 'ist', 'immer', 'eine', 'täuschung:', 'selbst', 'das', 'was', 'uns', 'zu', 'diesem', 'angeblichen', 'anfang', 'trieb', 'ist', 'wirkung', 'und', 'resultat', 'des', 'vorhergehenden', 'aber', 'ein', 'so', 'starkes', 'und', 'entscheidendes', 'abbrechen', 'wird', 'ein', 'zeichen', 'sein', 'von', 'einem', 'starken', 'und', 'übermässigen', 'ehemaligen', 'fördern', 'der', 'radikalismus', 'unserer', 'meinungen', 'und', 'unsrer', 'wahrheit', 'ist', 'die', 'folge', 'vom', 'radikalismus', 'unsrer', 'irrthümer', 'und', 'fehler', 'das', 'grosse', 'gesetz', 'der', 'umsetzung', '—', 'darin', 'liegt', 'aller', 'sogenannte', 'fortschritt', 'die', 'moralische', 'beurtheilung', 'müsste', 'im', 'grund', 'immer', 'dieselbe', 'sein', 'nun', 'nimmt', 'aber', 'der', 'verstand', 'und', 'die', 'erfahrung', 'zu', 'die', 'moralische', 'qualität', 'setzt', 'sich', 'immer', 'nur', 'um', 'zuletzt', 'schätzen', 'wir', 'eine', 'lehre', 'doch', 'nach', 'ihren', 'wirkungen', 'ob', 'sie', 'z', 'b', 'viel', 'menschen', 'getödtet', 'oder', 'verdreht', 'gemacht;', 'das', 'ist', 'nicht', 'gerecht', '—']"
43,1875,6,"['nachahmung', 'des', 'alterthums']"
